,detectedDuplicate,detectedCorruption,firstInSession,timestamp,clientTimestamp,remoteHost,referer,location,productID,viewportPixelWidth,viewportPixelHeight,screenPixelWidth,screenPixelHeight,partyId,sessionId,pageViewId,eventType,userAgentString,userAgentName,userAgentFamily,userAgentVendor,userAgentType,userAgentVersion,userAgentDeviceCategory,userAgentOsFamily,userAgentOsVersion,userAgentOsVendor
0,False,False,True,1585033407975,1585033410150,49.207.62.218,http://127.0.0.1:5000/home,http://127.0.0.1:5000/product/100001,100001.0,,657,,728,0:k85jyuks:5~i6246p_mVvsmz5p1tb602aVTgEqlVy,0:k85jyuks:I3gp4Kaw4bzi0LYPFYOZLKKSGWxml3aN,0:Y3WfECQKnLbi48~jCwixwj08Ix_Zj9hX,pageView,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,,Personal computer,Windows,10.0,Microsoft Corporation.
1,False,False,True,1585033407975,1585033410150,49.207.62.218,http://127.0.0.1:5000/home,http://127.0.0.1:5000/product/100001,100001.0,,657,,728,0:k85jyuks:5~i6246p_mVvsmz5p1tb602aVTgEqlVy,0:k85jyuks:I3gp4Kaw4bzi0LYPFYOZLKKSGWxml3aN,0:Y3WfECQKnLbi48~jCwixwj08Ix_Zj9hX,pageView,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,,Personal computer,Windows,10.0,Microsoft Corporation.
2,False,False,False,1585033414446,1585033416642,49.207.62.218,http://127.0.0.1:5000/home,http://127.0.0.1:5000/product/100001,100001.0,,657,,728,0:k85jyuks:5~i6246p_mVvsmz5p1tb602aVTgEqlVy,0:k85jyuks:I3gp4Kaw4bzi0LYPFYOZLKKSGWxml3aN,0:Y3WfECQKnLbi48~jCwixwj08Ix_Zj9hX,cart,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,,Personal computer,Windows,10.0,Microsoft Corporation.
3,False,False,False,1585033414446,1585033416642,49.207.62.218,http://127.0.0.1:5000/home,http://127.0.0.1:5000/product/100001,100001.0,,657,,728,0:k85jyuks:5~i6246p_mVvsmz5p1tb602aVTgEqlVy,0:k85jyuks:I3gp4Kaw4bzi0LYPFYOZLKKSGWxml3aN,0:Y3WfECQKnLbi48~jCwixwj08Ix_Zj9hX,cart,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,,Personal computer,Windows,10.0,Microsoft Corporation.
4,False,False,False,1585033416538,1585033418716,49.207.62.218,http://127.0.0.1:5000/home,http://127.0.0.1:5000/product/100001,100001.0,,657,,728,0:k85jyuks:5~i6246p_mVvsmz5p1tb602aVTgEqlVy,0:k85jyuks:I3gp4Kaw4bzi0LYPFYOZLKKSGWxml3aN,0:Y3WfECQKnLbi48~jCwixwj08Ix_Zj9hX,buy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,,Personal computer,Windows,10.0,Microsoft Corporation.
5,False,False,False,1585033416538,1585033418716,49.207.62.218,http://127.0.0.1:5000/home,http://127.0.0.1:5000/product/100001,100001.0,,657,,728,0:k85jyuks:5~i6246p_mVvsmz5p1tb602aVTgEqlVy,0:k85jyuks:I3gp4Kaw4bzi0LYPFYOZLKKSGWxml3aN,0:Y3WfECQKnLbi48~jCwixwj08Ix_Zj9hX,buy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,,Personal computer,Windows,10.0,Microsoft Corporation.
6,False,False,False,1585033430305,1585033432494,49.207.62.218,http://127.0.0.1:5000/product/100001,http://127.0.0.1:5000/home,,,657,,728,0:k85jyuks:5~i6246p_mVvsmz5p1tb602aVTgEqlVy,0:k85jyuks:I3gp4Kaw4bzi0LYPFYOZLKKSGWxml3aN,0:0CmdoqX86tTGSKT2Df4wT2d23rPbgEz4,pageView,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,,Personal computer,Windows,10.0,Microsoft Corporation.
7,False,False,False,1585033430305,1585033432494,49.207.62.218,http://127.0.0.1:5000/product/100001,http://127.0.0.1:5000/home,,,657,,728,0:k85jyuks:5~i6246p_mVvsmz5p1tb602aVTgEqlVy,0:k85jyuks:I3gp4Kaw4bzi0LYPFYOZLKKSGWxml3aN,0:0CmdoqX86tTGSKT2Df4wT2d23rPbgEz4,pageView,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,,Personal computer,Windows,10.0,Microsoft Corporation.
8,False,False,False,1585033451919,1585033454113,49.207.62.218,http://127.0.0.1:5000/home,http://127.0.0.1:5000/product/100003,100003.0,,657,,728,0:k85jyuks:5~i6246p_mVvsmz5p1tb602aVTgEqlVy,0:k85jyuks:I3gp4Kaw4bzi0LYPFYOZLKKSGWxml3aN,0:~HoIAeqlvyYrt69TRejC1hpzgaAUblEL,pageView,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,,Personal computer,Windows,10.0,Microsoft Corporation.
9,False,False,False,1585033451919,1585033454113,49.207.62.218,http://127.0.0.1:5000/home,http://127.0.0.1:5000/product/100003,100003.0,,657,,728,0:k85jyuks:5~i6246p_mVvsmz5p1tb602aVTgEqlVy,0:k85jyuks:I3gp4Kaw4bzi0LYPFYOZLKKSGWxml3aN,0:~HoIAeqlvyYrt69TRejC1hpzgaAUblEL,pageView,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36",Chrome,Chrome,Google Inc.,Browser,,Personal computer,Windows,10.0,Microsoft Corporation.
